antecedents,consequents,as,cs,confidence,support,kluc,imb ratio
"frozenset({'FROM BUILDING', 'Mo', 'AM'})",frozenset({'THEFT'}),0.0017782364498779447,0.24125667334828427,1.0,0.0017782364498779447,0.5036853622020039,0.987108881069198
frozenset({'03:30'}),frozenset({'AM'}),0.0025879691190187947,0.37086153174429914,1.0,0.0025879691190187947,0.5034891312491304,0.988681137250686
"frozenset({'03:30', 'THEFT'})",frozenset({'AM'}),0.0005755452795363884,0.37086153174429914,1.0,0.0005755452795363884,0.5007759571029508,0.9974741829969687
"frozenset({'03:30', 'So'})",frozenset({'AM'}),0.0006231766130152618,0.37086153174429914,1.0,0.0006231766130152618,0.5008401742425054,0.9972653706162589
"frozenset({'STREET', '03:30'})",frozenset({'AM'}),0.0005993609462758251,0.37086153174429914,1.0,0.0005993609462758251,0.5008080656727281,0.9973697725927344
"frozenset({'03:30', 'BATTERY'})",frozenset({'AM'}),0.0007343163911326334,0.37086153174429914,1.0,0.0007343163911326334,0.5009900142347993,0.9967782727964266
"frozenset({'Sa', '03:30'})",frozenset({'AM'}),0.0005199753904777026,0.37086153174429914,1.0,0.0005199753904777026,0.5007010371068038,0.9977178400538651
frozenset({'Do'}),frozenset({'PM'}),0.1386429039236311,0.6291384682557009,0.6458530161184116,0.08954293766249231,0.39408964795649415,0.7207279300275057
"frozenset({'Do', 'THEFT'})",frozenset({'PM'}),0.03452477821660349,0.6291384682557009,0.6909634398712347,0.02385535951733582,0.3644404712447491,0.9262726814819092
"frozenset({'RESIDENCE', 'Do', 'THEFT'})",frozenset({'PM'}),0.0028618492865223172,0.6291384682557009,0.608876560332871,0.0017425129497687895,0.30582312073627055,0.993774674342838
"frozenset({'Do', 'BATTERY'})",frozenset({'PM'}),0.025367654355290054,0.6291384682557009,0.625567203880457,0.015869172604044694,0.3253954301821434,0.9455395192348943
"frozenset({'STREET', 'Do', 'BATTERY'})",frozenset({'PM'}),0.0032548077877230237,0.6291384682557009,0.673170731707317,0.0021910413400281817,0.3383266688025172,0.9929215161739289
"frozenset({'STREET', 'Do'})",frozenset({'PM'}),0.029579058090380455,0.6291384682557009,0.6757917337627483,0.019989282949967255,0.35378210175538205,0.9366532209893002
"frozenset({'STREET', 'Do', 'THEFT'})",frozenset({'PM'}),0.007176454244150277,0.6291384682557009,0.6675884955752213,0.004790918292416695,0.33760177072107517,0.9844287337663837
frozenset({'$500 AND UNDER'}),frozenset({'THEFT'}),0.09134102050131979,0.24125667334828427,1.0,0.09134102050131979,0.6893025781082904,0.4827252049853348
frozenset({'$500 AND UNDER'}),frozenset({'PM'}),0.09134102050131979,0.6291384682557009,0.639144794020511,0.05838013773393931,0.3659692879012222,0.8111412185782914
"frozenset({'$500 AND UNDER', 'THEFT'})",frozenset({'PM'}),0.09134102050131979,0.6291384682557009,0.639144794020511,0.05838013773393931,0.3659692879012222,0.8111412185782914
"frozenset({'PM', '$500 AND UNDER'})",frozenset({'THEFT'}),0.05838013773393931,0.24125667334828427,1.0,0.05838013773393931,0.6209917572925749,0.6404311615191847
frozenset({'$500 AND UNDER'}),"frozenset({'PM', 'THEFT'})",0.09134102050131979,0.16199416516164883,0.639144794020511,0.05838013773393931,0.49976449737289397,0.2961918204738622
"frozenset({'Do', '$500 AND UNDER'})",frozenset({'THEFT'}),0.012630241927481295,0.24125667334828427,1.0,0.012630241927481295,0.5261759431401261,0.9114440570386135
"frozenset({'Do', '$500 AND UNDER'})",frozenset({'PM'}),0.012630241927481295,0.6291384682557009,0.656191074795726,0.008287852025323993,0.33468220507398067,0.9726827120743307
"frozenset({'Do', '$500 AND UNDER', 'THEFT'})",frozenset({'PM'}),0.012630241927481295,0.6291384682557009,0.656191074795726,0.008287852025323993,0.33468220507398067,0.9726827120743307
"frozenset({'PM', 'Do', '$500 AND UNDER'})",frozenset({'THEFT'}),0.008287852025323993,0.24125667334828427,1.0,0.008287852025323993,0.5171764202629111,0.9411169568171156
"frozenset({'Do', '$500 AND UNDER'})","frozenset({'PM', 'THEFT'})",0.012630241927481295,0.16199416516164883,0.656191074795726,0.008287852025323993,0.35367624895328786,0.8654845517500981
"frozenset({'Do', 'AM', '$500 AND UNDER'})",frozenset({'THEFT'}),0.004342389902157302,0.24125667334828427,1.0,0.004342389902157302,0.508999522877215,0.9687707850346166
"frozenset({'STREET', 'Do', '$500 AND UNDER'})",frozenset({'THEFT'}),0.004219342290670213,0.24125667334828427,1.0,0.004219342290670213,0.5087445089748441,0.9696441190853745
"frozenset({'STREET', 'Do', '$500 AND UNDER'})",frozenset({'PM'}),0.004219342290670213,0.6291384682557009,0.6585136406396989,0.0027784944529342884,0.33146499434919924,0.9908290722398733
